"1","6","2404","0"
"2","7","2320","0"
"3","8","2410","0"
"4","9","2402","0"
"5","10","2408","0"
"6","11","2409","0"
"7","12","207","0"
"8","13","2326","0"
"9","14","247","0"
"10","15","1166","0"
"11","16","16314","0"
"12","17","2346","48453"
"13","18","2405","0"
"14","19","2327","0"
"15","20","2328","0"
"16","21","2736","0"
"17","22","2784","0"
"18","23","2787","0"
"19","24","2786","0"
"20","25","2785","0"
"21","26","6080","0"
"22","27","4806","0"
"23","28","5228","0"
"24","29","9991","0"
"25","30","4805","0"
"26","31","6444","0"
"27","32","6443","0"
"28","33","6447","0"
"29","34","6448","0"
"30","35","6471","0"
"31","36","6472","0"
"32","37","6468","0"
"33","38","6473","0"
"34","39","9473","0"
"35","40","6569","0"
"36","41","8469","0"
"37","42","9474","0"
"38","43","9475","0"
"39","44","9476","0"
"40","45","9991","0"
"41","46","9695","0"
"42","47","4805","0"
"43","48","6442","0"
"44","49","9714","0"
"45","50","2326","0"
"46","51","1166","0"
"47","52","2408","0"
"48","53","2410","0"
"49","54","6469","0"
"50","55","10426","0"
"51","56","6471","0"
"52","57","10661","0"
"53","58","9476","0"
"54","59","10662","0"
"55","60","10664","0"
"56","61","9475","0"
"57","62","10666","0"
"58","63","2787","0"
"59","64","2784","0"
"60","65","10670","0"
"61","66","10671","0"
"62","67","10672","0"
"63","68","10720","0"
"64","69","10718","0"
"65","70","11641","0"
"66","71","12246","0"
"67","72","11641","0"
"68","73","12245","0"
"69","74","12242","0"
"70","75","14337","0"
"71","76","14348","0"
"72","77","14372","0"
"73","78","14577","0"
"74","79","14388","0"
"75","80","10719","0"
"76","81","14330","0"
"77","82","14334","0"
"78","83","14554","48453"
"79","84","14584","0"
"80","85","14332","0"
"81","86","14329","0"
"82","87","14331","0"
"83","88","14377","0"
"84","89","14376","0"
"85","90","14374","0"
"86","91","14582","0"
"87","92","14338","0"
"88","93","14583","0"
"89","94","14347","0"
"90","136","17719","0"
"91","137","17718","0"
"92","138","17703","0"
"93","139","17717","0"
"94","140","17720","0"
"95","141","17722","0"
"96","142","17721","0"
"97","143","17890","0"
"98","144","17701","0"
"99","145","6569","0"
"100","146","18697","0"
"101","147","17063","0"
"102","148","17906","0"
"103","149","19085","0"
"104","150","19296","0"
"105","151","19303","0"
"106","152","18696","0"
"107","153","19375","0"
"108","154","19377","0"
"109","155","19378","0"
"110","156","19376","0"
"111","157","19479","0"
"112","158","19480","0"
"113","159","19478","0"
"114","160","19484","0"
"115","161","19482","0"
"116","162","20359","0"
"117","163","19869","0"
"118","164","19870","0"
"119","165","19873","0"
"120","166","19871","0"
"121","167","19872","0"
"122","168","19250","0"
"123","169","20344","0"
"124","170","21073","0"
"125","171","21074","0"
"126","172","21075","0"
"127","173","21077","0"
"128","174","21076","0"
"129","175","6477","0"
"130","176","21152","0"
"131","177","21158","0"
"132","178","21155","0"
"133","179","21157","0"
"134","180","21156","0"
"135","181","21075","0"
"136","182","2404","0"
"137","183","17890","0"
"138","184","16314","0"
