1;58231;39;40;0;49778;0;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
2;58231;39;40;0;49778;0;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
3;58233;44;43;0;52557;0;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0
4;58233;44;43;0;52557;0;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0
5;58247;6137;6948;0;6138;2504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29057;1;3;0;0;12
6;58247;6137;6948;0;6138;2504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29057;1;3;1;0;12
7;2092;58234;48;47;0;50055;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0
8;2092;58234;48;47;0;50055;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;0;0
9;6098;52;0;51;35;0;0;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0
10;6098;52;0;51;35;0;0;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;0;0
11;34652;34655;34659;34650;0;34653;34649;34651;34656;34648;34657;34658;38145;38145;38145;38145;38147;0;41751;40582;0;0;0;0;0;1;6;0;0;0
12;34652;34655;34659;34650;0;34653;34649;34651;34656;34648;34657;34658;38145;38145;38145;38145;38147;0;41751;40582;0;0;0;0;0;1;6;1;0;0
13;52544;52545;6948;0;36;0;0;2362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0
14;52544;52545;6948;0;36;0;0;2362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;1;0;0
15;56;1395;55;35;0;0;0;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;0
16;56;1395;55;35;0;0;0;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;1;0;0
17;57;0;1396;35;59;0;0;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4449;1;9;0;0;23
18;57;0;1396;35;59;0;0;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4449;1;9;1;0;23
19;0;72019;72020;77526;77279;77509;77278;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;0;0;0
20;0;72019;72020;77526;77279;77509;77278;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;1;0;0
21;35;6139;6124;0;0;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0;0
22;35;6139;6124;0;0;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;1;0;0
23;133320;133323;133319;0;133325;133322;133321;133318;133324;112458;112459;112460;112461;112462;129181;123958;123958;123958;123958;123959;123960;132752;6948;0;0;1;12;0;0;0
24;133320;133323;133319;0;133325;133322;133321;133318;133324;112458;112459;112460;112461;112462;129181;123958;123958;123958;123958;123959;123960;132752;6948;0;0;1;12;1;0;0
25;58231;39;40;0;49778;0;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
26;58231;39;40;0;49778;0;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0
27;58233;44;43;0;52557;0;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
28;58233;44;43;0;52557;0;0;6948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0
29;58247;6137;6948;0;6138;2504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29057;2;3;0;0;12
