"17";"132759";"4"
"25";"135274";"21"
"35";"135145";"17"
"36";"133478";"21"
"37";"132402";"21"
"38";"135009";"4"
"39";"134582";"7"
"40";"132540";"8"
"41";"132494";"6"
"42";"132494";"6"
"43";"132535";"8"
"44";"134582";"7"
"45";"135005";"4"
"46";"132495";"6"
"47";"132539";"8"
"48";"134582";"7"
"49";"135009";"4"
"50";"132493";"6"
"51";"132538";"8"
"52";"134582";"7"
"53";"135005";"4"
"54";"132493";"6"
"55";"132543";"8"
"56";"132664";"20"
"57";"132665";"20"
"58";"132492";"6"
"59";"132535";"8"
"60";"132724";"5"
"61";"443401";"7"
"77";"135006";"5"
"79";"443400";"7"
"80";"132543";"8"
"85";"135011";"5"
"86";"132493";"6"
"87";"132535";"8"
"88";"134582";"7"
"89";"135011";"4"
"90";"132494";"6"
"91";"134582";"7"
"92";"132535";"8"
"93";"135005";"4"
"94";"132494";"6"
"95";"132535";"8"
"97";"132662";"20"
"98";"132493";"6"
"99";"132535";"8"
"100";"134582";"7"
"101";"135005";"4"
"102";"132494";"6"
"103";"132535";"8"
"104";"134582";"7"
"105";"135005";"4"
"113";"134582";"7"
"114";"132535";"8"
"115";"132493";"6"
"117";"133972";"0"
"118";"134829";"0"
"119";"135005";"4"
"120";"134582";"7"
"121";"132539";"8"
"122";"132493";"6"
"123";"135005";"4"
"124";"134582";"7"
"125";"132535";"8"
"126";"132494";"6"
"127";"135011";"4"
"128";"134582";"7"
"129";"132540";"8"
"130";"132494";"6"
"131";"133693";"6"
"132";"132536";"8"
"133";"135009";"4"
"134";"135005";"4"
"135";"134582";"7"
"136";"132535";"8"
"137";"132493";"6"
"138";"132719";"4"
"139";"134582";"7"
"140";"132538";"8"
"141";"132491";"6"
"143";"134951";"14"
"146";"132493";"6"
"147";"134582";"7"
"148";"135005";"4"
"149";"132493";"6"
"150";"134582";"7"
"151";"135005";"4"
"152";"132494";"6"
"153";"134582";"7"
"154";"133766";"4"
"155";"132494";"6"
"156";"134582";"7"
"157";"135005";"4"
"159";"132794";"0"
"182";"134166";"0"
"184";"133622";"18"
"192";"133476";"21"
"193";"135022";"5"
"194";"134592";"7"
"195";"132539";"8"
"200";"135006";"5"
"201";"134592";"7"
"202";"132539";"8"
"203";"132955";"10"
"209";"134706";"7"
"210";"132540";"8"
"236";"132725";"5"
"237";"134586";"7"
"238";"132537";"8"
"239";"132955";"10"
"285";"132631";"5"
"286";"134583";"7"
"287";"132535";"8"
"414";"133995";"0"
"422";"133949";"0"
"527";"133280";"0"
"537";"134304";"0"
"555";"135992";"0"
