"6","458","Brown Horse","A favorite among Stormwind's guards thanks to its patience and stamina.","|cFFFFD200Vendor: |rUnger Statforth|n|cFFFFD200Zone: |rWetlands|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","2","0","4"
"7","459","Gray Wolf","This breed of wolf prefers hunting in the fog, relying on its smoky hide to camouflage it from unsuspecting prey.","|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","64","2","0","4"
"8","468","White Stallion","The powerful and unyielding white stallion features heavily in the myths of ancient human tribes.","|cFFFFD200Legacy|r","0","230","64","2","0","4"
"9","470","Black Stallion","Rumored to be favored by SI:7 for night missions due to its dark coat.","|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","2","0","4"
"11","472","Pinto","Its calm temperament makes it ideal to train young children in horseback riding.","|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","2","0","4"
"12","578","Black Wolf","Can howl loudly enough to be heard for miles.","|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","64","2","0","4"
"13","579","Red Wolf","Almost none remain in the whole of Azeroth; only the most experienced will have seen one.","|cFFFFD200Legacy|r","0","230","64","2","0","4"
"14","580","Timber Wolf","Can howl loudly enough to be heard for miles.","|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","2","0","4"
"15","581","Winter Wolf","Ancient furbolg legends claim that wolves born with a white coat are blessed by Azeroth's two moons.","|cFFFFD200Legacy|r","0","230","64","2","0","4"
"17","5784","Felsteed","Corrupted by demonic power and once forced to serve the Shadow Council.","|cFFFFD200Class: |rWarlock","0","230","0","1","31504","4"
"18","6648","Chestnut Mare","Sturdy and steady; ""the horse that built Stormwind.""","|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","2","0","4"
"19","6653","Dire Wolf","Once thought to be extinct except in the far north. Highly sought by those preparing for winter.","|cFFFFD200Vendor:|r Ogunaro Wolfrunner|n|cFFFFD200Location:|r Orgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","230","0","2","0","4"
